id_pedido,timestamp,id_produto,nome_produto,categoria,preco,quantidade
P3850,2024-05-31 16:09:22,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P3850,2024-05-31 16:23:31,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P3851,2024-05-31 16:23:41,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P3852,2024-05-31 16:44:57,PROD01,Smartphone X,Smartphones,3500.0,1
P3853,2024-05-31 17:12:38,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P3854,2024-05-31 18:19:31,PROD01,Smartphone X,Smartphones,3500.0,1
P3855,2024-05-31 18:22:13,PROD07,Monitor Ultrawide,Monitores,1800.0,3
P3856,2024-05-31 18:33:15,PROD01,Smartphone X,Smartphones,3500.0,1
P3857,2024-05-31 18:35:34,PROD05,Jogo Aventura,Games,199.9,1
P3857,2024-05-31 18:39:52,PROD02,Fone Bluetooth Y,Acessórios,250.0,2
P3858,2024-05-31 18:42:09,PROD10,SSD 1TB,Componentes,600.0,1
P3859,2024-05-31 18:47:30,PROD08,Cadeira Gamer,Móveis,1200.0,1
P3860,2024-05-31 18:59:06,PROD03,Notebook Pro,Notebooks,7500.0,1
P3861,2024-05-31 19:02:10,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P3862,2024-05-31 19:06:45,PROD03,Notebook Pro,Notebooks,7500.0,2
P3863,2024-05-31 19:21:22,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P3863,2024-05-31 19:25:05,PROD05,Jogo Aventura,Games,199.9,1
P3864,2024-05-31 19:28:49,PROD09,Webcam Full HD,Acessórios,300.0,2
P3865,2024-05-31 19:31:19,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P3866,2024-05-31 19:32:07,PROD03,Notebook Pro,Notebooks,7500.0,1
P3867,2024-05-31 19:35:15,PROD10,SSD 1TB,Componentes,600.0,1
P3868,2024-05-31 19:42:08,PROD03,Notebook Pro,Notebooks,7500.0,1
P3869,2024-05-31 19:47:54,PROD07,Monitor Ultrawide,Monitores,1800.0,2
P3870,2024-05-31 19:51:12,PROD05,Jogo Aventura,Games,199.9,1
P3871,2024-05-31 20:04:34,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P3872,2024-05-31 20:08:51,PROD08,Cadeira Gamer,Móveis,1200.0,1
P3873,2024-05-31 20:10:30,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P3873,2024-05-31 20:20:21,PROD01,Smartphone X,Smartphones,3500.0,1
P3874,2024-05-31 20:28:43,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P3874,2024-05-31 20:39:30,PROD05,Jogo Aventura,Games,199.9,1
P3875,2024-05-31 20:39:46,PROD01,Smartphone X,Smartphones,3500.0,1
P3876,2024-05-31 20:47:59,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P3877,2024-05-31 20:55:28,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P3877,2024-05-31 20:56:43,PROD10,SSD 1TB,Componentes,600.0,1
P3878,2024-05-31 21:12:34,PROD01,Smartphone X,Smartphones,3500.0,1
P3879,2024-05-31 21:19:33,PROD05,Jogo Aventura,Games,199.9,1
P3880,2024-05-31 21:29:38,PROD06,Mouse Gamer W,Acessórios,150.0,1
P3881,2024-05-31 21:50:41,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P3882,2024-05-31 21:53:56,PROD08,Cadeira Gamer,Móveis,1200.0,1
P3883,2024-05-31 21:54:11,PROD08,Cadeira Gamer,Móveis,1200.0,1
P3884,2024-05-31 22:10:51,PROD01,Smartphone X,Smartphones,3500.0,1
P3885,2024-05-31 22:15:52,PROD03,Notebook Pro,Notebooks,7500.0,1
P3886,2024-05-31 22:19:37,PROD08,Cadeira Gamer,Móveis,1200.0,1
P3887,2024-05-31 22:24:21,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P3888,2024-05-31 22:30:52,PROD09,Webcam Full HD,Acessórios,300.0,3
P3889,2024-05-31 22:40:48,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P3890,2024-05-31 22:40:53,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P3891,2024-05-31 22:44:06,PROD03,Notebook Pro,Notebooks,7500.0,1
