id_pedido,timestamp,id_produto,nome_produto,categoria,preco,quantidade
P1706,2024-05-14 10:18:55,PROD10,SSD 1TB,Componentes,600.0,1
P1707,2024-05-14 10:20:33,PROD06,Mouse Gamer W,Acessórios,150.0,1
P1708,2024-05-14 10:21:09,PROD08,Cadeira Gamer,Móveis,1200.0,2
P1709,2024-05-14 10:23:28,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1710,2024-05-14 10:25:23,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1711,2024-05-14 10:29:00,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1712,2024-05-14 11:15:22,PROD06,Mouse Gamer W,Acessórios,150.0,1
P1713,2024-05-14 12:13:58,PROD09,Webcam Full HD,Acessórios,300.0,1
P1713,2024-05-14 12:27:55,PROD01,Smartphone X,Smartphones,3500.0,3
P1714,2024-05-14 12:37:48,PROD01,Smartphone X,Smartphones,3500.0,1
P1715,2024-05-14 12:47:30,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P1716,2024-05-14 13:05:32,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1717,2024-05-14 13:20:34,PROD09,Webcam Full HD,Acessórios,300.0,1
P1717,2024-05-14 13:25:49,PROD01,Smartphone X,Smartphones,3500.0,1
P1718,2024-05-14 13:30:26,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P1719,2024-05-14 13:33:09,PROD09,Webcam Full HD,Acessórios,300.0,1
P1719,2024-05-14 13:36:43,PROD05,Jogo Aventura,Games,199.9,3
P1720,2024-05-14 13:39:38,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1721,2024-05-14 13:52:53,PROD06,Mouse Gamer W,Acessórios,150.0,2
P1722,2024-05-14 13:55:45,PROD10,SSD 1TB,Componentes,600.0,1
P1723,2024-05-14 13:56:37,PROD05,Jogo Aventura,Games,199.9,1
P1724,2024-05-14 14:06:55,PROD01,Smartphone X,Smartphones,3500.0,1
P1724,2024-05-14 14:12:18,PROD01,Smartphone X,Smartphones,3500.0,2
P1725,2024-05-14 14:12:41,PROD06,Mouse Gamer W,Acessórios,150.0,1
P1726,2024-05-14 14:13:03,PROD06,Mouse Gamer W,Acessórios,150.0,1
P1727,2024-05-14 14:13:29,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1728,2024-05-14 14:30:59,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P1729,2024-05-14 14:39:56,PROD05,Jogo Aventura,Games,199.9,1
P1730,2024-05-14 14:57:09,PROD01,Smartphone X,Smartphones,3500.0,2
P1731,2024-05-14 15:06:30,PROD01,Smartphone X,Smartphones,3500.0,1
P1732,2024-05-14 15:11:36,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P1733,2024-05-14 15:21:36,PROD06,Mouse Gamer W,Acessórios,150.0,1
P1734,2024-05-14 15:23:50,PROD06,Mouse Gamer W,Acessórios,150.0,1
P1734,2024-05-14 15:25:08,PROD09,Webcam Full HD,Acessórios,300.0,1
P1735,2024-05-14 15:27:58,PROD09,Webcam Full HD,Acessórios,300.0,1
P1736,2024-05-14 15:28:11,PROD03,Notebook Pro,Notebooks,7500.0,1
P1737,2024-05-14 15:29:03,PROD05,Jogo Aventura,Games,199.9,2
P1737,2024-05-14 15:31:25,PROD09,Webcam Full HD,Acessórios,300.0,1
P1738,2024-05-14 16:01:12,PROD01,Smartphone X,Smartphones,3500.0,3
P1739,2024-05-14 16:14:44,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1739,2024-05-14 16:16:45,PROD10,SSD 1TB,Componentes,600.0,1
P1740,2024-05-14 16:57:05,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P1741,2024-05-14 17:05:52,PROD09,Webcam Full HD,Acessórios,300.0,1
P1742,2024-05-14 17:14:03,PROD09,Webcam Full HD,Acessórios,300.0,1
P1743,2024-05-14 17:19:49,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1744,2024-05-14 17:22:05,PROD09,Webcam Full HD,Acessórios,300.0,1
P1745,2024-05-14 17:24:29,PROD05,Jogo Aventura,Games,199.9,1
P1746,2024-05-14 17:40:25,PROD09,Webcam Full HD,Acessórios,300.0,1
P1747,2024-05-14 17:44:45,PROD09,Webcam Full HD,Acessórios,300.0,1
P1748,2024-05-14 17:48:00,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P1749,2024-05-14 18:14:36,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1750,2024-05-14 18:24:52,PROD03,Notebook Pro,Notebooks,7500.0,1
P1751,2024-05-14 18:30:34,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1752,2024-05-14 18:42:26,PROD10,SSD 1TB,Componentes,600.0,1
P1752,2024-05-14 18:53:25,PROD10,SSD 1TB,Componentes,600.0,2
P1753,2024-05-14 19:01:13,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P1754,2024-05-14 19:03:57,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1755,2024-05-14 19:06:54,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1756,2024-05-14 19:12:32,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1757,2024-05-14 19:28:03,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P1757,2024-05-14 19:44:30,PROD09,Webcam Full HD,Acessórios,300.0,1
P1757,2024-05-14 19:47:37,PROD10,SSD 1TB,Componentes,600.0,1
P1758,2024-05-14 19:47:45,PROD06,Mouse Gamer W,Acessórios,150.0,3
P1759,2024-05-14 19:54:55,PROD01,Smartphone X,Smartphones,3500.0,1
P1760,2024-05-14 19:56:49,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P1761,2024-05-14 20:05:37,PROD08,Cadeira Gamer,Móveis,1200.0,1
P1762,2024-05-14 20:12:48,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1763,2024-05-14 20:30:32,PROD10,SSD 1TB,Componentes,600.0,3
P1764,2024-05-14 20:44:52,PROD10,SSD 1TB,Componentes,600.0,1
P1765,2024-05-14 20:45:52,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P1766,2024-05-14 20:55:01,PROD06,Mouse Gamer W,Acessórios,150.0,3
