id_pedido,timestamp,id_produto,nome_produto,categoria,preco,quantidade
P0859,2024-05-07 18:16:36,PROD02,Fone Bluetooth Y,Acessórios,250.0,2
P0860,2024-05-07 18:17:13,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0861,2024-05-07 18:22:15,PROD02,Fone Bluetooth Y,Acessórios,250.0,2
P0862,2024-05-07 18:49:27,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0863,2024-05-07 18:55:24,PROD03,Notebook Pro,Notebooks,7500.0,1
P0864,2024-05-07 19:01:17,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0865,2024-05-07 19:10:26,PROD10,SSD 1TB,Componentes,600.0,1
P0866,2024-05-07 19:10:32,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0867,2024-05-07 19:15:58,PROD10,SSD 1TB,Componentes,600.0,1
P0868,2024-05-07 19:17:00,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0869,2024-05-07 19:33:01,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0870,2024-05-07 20:04:50,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0871,2024-05-07 20:06:49,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0872,2024-05-07 20:40:10,PROD04,Teclado Gamer Z,Acessórios,450.0,2
P0873,2024-05-07 20:41:27,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0874,2024-05-07 20:52:45,PROD05,Jogo Aventura,Games,199.9,1
P0875,2024-05-07 21:04:04,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0876,2024-05-07 21:07:33,PROD10,SSD 1TB,Componentes,600.0,1
P0876,2024-05-07 21:25:07,PROD01,Smartphone X,Smartphones,3500.0,1
P0877,2024-05-07 21:40:13,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0878,2024-05-07 21:50:22,PROD10,SSD 1TB,Componentes,600.0,1
P0879,2024-05-07 21:54:32,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0879,2024-05-07 21:59:35,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0879,2024-05-07 22:18:15,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0880,2024-05-07 22:18:58,PROD01,Smartphone X,Smartphones,3500.0,2
P0881,2024-05-07 22:25:00,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0882,2024-05-07 22:40:14,PROD05,Jogo Aventura,Games,199.9,1
P0882,2024-05-07 22:56:42,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0882,2024-05-07 23:00:45,PROD10,SSD 1TB,Componentes,600.0,1
P0883,2024-05-07 23:13:13,PROD10,SSD 1TB,Componentes,600.0,1
P0884,2024-05-07 23:13:58,PROD05,Jogo Aventura,Games,199.9,1
P0885,2024-05-07 23:18:32,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0885,2024-05-07 23:29:59,PROD09,Webcam Full HD,Acessórios,300.0,1
P0886,2024-05-07 23:35:54,PROD07,Monitor Ultrawide,Monitores,1800.0,2
P0887,2024-05-07 23:55:19,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0887,2024-05-08 00:03:47,PROD10,SSD 1TB,Componentes,600.0,1
P0888,2024-05-08 00:05:22,PROD09,Webcam Full HD,Acessórios,300.0,1
P0888,2024-05-08 00:11:59,PROD01,Smartphone X,Smartphones,3500.0,1
P0888,2024-05-08 00:23:26,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0889,2024-05-08 00:29:02,PROD07,Monitor Ultrawide,Monitores,1800.0,2
P0890,2024-05-08 00:36:08,PROD03,Notebook Pro,Notebooks,7500.0,1
P0891,2024-05-08 00:50:09,PROD09,Webcam Full HD,Acessórios,300.0,1
P0892,2024-05-08 00:52:46,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0893,2024-05-08 01:05:07,PROD01,Smartphone X,Smartphones,3500.0,1
P0894,2024-05-08 01:11:45,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0894,2024-05-08 01:17:06,PROD09,Webcam Full HD,Acessórios,300.0,1
P0895,2024-05-08 01:33:23,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0896,2024-05-08 01:46:18,PROD08,Cadeira Gamer,Móveis,1200.0,3
P0897,2024-05-08 01:47:14,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0897,2024-05-08 01:51:18,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0897,2024-05-08 01:52:58,PROD05,Jogo Aventura,Games,199.9,1
P0898,2024-05-08 01:56:26,PROD10,SSD 1TB,Componentes,600.0,1
P0899,2024-05-08 02:14:28,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0900,2024-05-08 02:26:06,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0900,2024-05-08 02:27:07,PROD10,SSD 1TB,Componentes,600.0,1
P0901,2024-05-08 02:47:59,PROD01,Smartphone X,Smartphones,3500.0,1
P0902,2024-05-08 02:57:30,PROD09,Webcam Full HD,Acessórios,300.0,1
P0903,2024-05-08 03:02:10,PROD01,Smartphone X,Smartphones,3500.0,2
P0904,2024-05-08 03:15:54,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0905,2024-05-08 03:21:06,PROD02,Fone Bluetooth Y,Acessórios,250.0,3
P0906,2024-05-08 03:23:32,PROD10,SSD 1TB,Componentes,600.0,1
P0907,2024-05-08 03:35:36,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0908,2024-05-08 03:36:48,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0909,2024-05-08 03:42:45,PROD09,Webcam Full HD,Acessórios,300.0,3
P0910,2024-05-08 03:48:29,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0911,2024-05-08 04:22:53,PROD08,Cadeira Gamer,Móveis,1200.0,2
P0912,2024-05-08 04:38:09,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0913,2024-05-08 04:51:06,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0914,2024-05-08 04:55:55,PROD05,Jogo Aventura,Games,199.9,1
P0915,2024-05-08 05:05:02,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0916,2024-05-08 05:05:06,PROD10,SSD 1TB,Componentes,600.0,2
P0917,2024-05-08 05:35:30,PROD09,Webcam Full HD,Acessórios,300.0,1
P0918,2024-05-08 05:43:18,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0918,2024-05-08 05:46:38,PROD07,Monitor Ultrawide,Monitores,1800.0,2
P0919,2024-05-08 06:03:08,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0920,2024-05-08 06:07:01,PROD05,Jogo Aventura,Games,199.9,1
P0921,2024-05-08 06:28:23,PROD01,Smartphone X,Smartphones,3500.0,1
P0922,2024-05-08 06:57:40,PROD09,Webcam Full HD,Acessórios,300.0,1
P0923,2024-05-08 07:14:59,PROD10,SSD 1TB,Componentes,600.0,1
P0924,2024-05-08 07:26:21,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0925,2024-05-08 07:29:13,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0926,2024-05-08 07:29:41,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0927,2024-05-08 07:38:14,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0928,2024-05-08 07:54:52,PROD10,SSD 1TB,Componentes,600.0,1
P0929,2024-05-08 08:01:40,PROD09,Webcam Full HD,Acessórios,300.0,1
P0930,2024-05-08 08:02:34,PROD03,Notebook Pro,Notebooks,7500.0,1
P0931,2024-05-08 08:02:37,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0932,2024-05-08 08:12:15,PROD10,SSD 1TB,Componentes,600.0,1
P0933,2024-05-08 08:12:56,PROD03,Notebook Pro,Notebooks,7500.0,1
P0934,2024-05-08 08:50:24,PROD10,SSD 1TB,Componentes,600.0,1
P0934,2024-05-08 08:55:42,PROD05,Jogo Aventura,Games,199.9,3
P0935,2024-05-08 09:46:05,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0936,2024-05-08 10:23:34,PROD05,Jogo Aventura,Games,199.9,2
P0937,2024-05-08 10:30:14,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0938,2024-05-08 10:40:47,PROD03,Notebook Pro,Notebooks,7500.0,1
P0938,2024-05-08 10:46:21,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0939,2024-05-08 10:49:31,PROD05,Jogo Aventura,Games,199.9,1
P0940,2024-05-08 10:59:40,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0941,2024-05-08 11:01:30,PROD10,SSD 1TB,Componentes,600.0,1
P0942,2024-05-08 11:02:59,PROD05,Jogo Aventura,Games,199.9,1
P0942,2024-05-08 11:07:08,PROD05,Jogo Aventura,Games,199.9,1
P0943,2024-05-08 11:18:56,PROD05,Jogo Aventura,Games,199.9,1
P0944,2024-05-08 11:19:25,PROD10,SSD 1TB,Componentes,600.0,1
P0945,2024-05-08 11:22:00,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0946,2024-05-08 11:33:53,PROD08,Cadeira Gamer,Móveis,1200.0,2
P0947,2024-05-08 11:39:15,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0948,2024-05-08 11:44:40,PROD01,Smartphone X,Smartphones,3500.0,1
P0949,2024-05-08 11:48:17,PROD09,Webcam Full HD,Acessórios,300.0,1
P0950,2024-05-08 11:57:30,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0951,2024-05-08 11:58:21,PROD05,Jogo Aventura,Games,199.9,1
P0952,2024-05-08 12:07:56,PROD07,Monitor Ultrawide,Monitores,1800.0,2
