id_pedido,timestamp,id_produto,nome_produto,categoria,preco,quantidade
P0001,2024-05-01 00:03:04,PROD01,Smartphone X,Smartphones,3500.0,1
P0002,2024-05-01 00:08:26,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0003,2024-05-01 00:11:11,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0004,2024-05-01 00:18:04,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0005,2024-05-01 00:22:02,PROD01,Smartphone X,Smartphones,3500.0,1
P0006,2024-05-01 00:22:27,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0006,2024-05-01 00:24:51,PROD01,Smartphone X,Smartphones,3500.0,1
P0007,2024-05-01 00:26:11,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0007,2024-05-01 00:54:19,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0008,2024-05-01 01:08:22,PROD03,Notebook Pro,Notebooks,7500.0,1
P0009,2024-05-01 01:09:49,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0010,2024-05-01 01:23:10,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0010,2024-05-01 01:31:21,PROD03,Notebook Pro,Notebooks,7500.0,1
P0011,2024-05-01 01:44:36,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0012,2024-05-01 01:48:12,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0013,2024-05-01 01:58:54,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0013,2024-05-01 02:12:50,PROD03,Notebook Pro,Notebooks,7500.0,1
P0014,2024-05-01 02:34:46,PROD05,Jogo Aventura,Games,199.9,1
P0015,2024-05-01 02:36:22,PROD01,Smartphone X,Smartphones,3500.0,1
P0016,2024-05-01 02:41:07,PROD05,Jogo Aventura,Games,199.9,1
P0017,2024-05-01 02:46:34,PROD03,Notebook Pro,Notebooks,7500.0,1
P0018,2024-05-01 02:50:49,PROD03,Notebook Pro,Notebooks,7500.0,2
P0019,2024-05-01 03:02:09,PROD09,Webcam Full HD,Acessórios,300.0,1
P0020,2024-05-01 03:09:04,PROD04,Teclado Gamer Z,Acessórios,450.0,2
P0021,2024-05-01 03:16:26,PROD05,Jogo Aventura,Games,199.9,1
P0022,2024-05-01 03:22:47,PROD01,Smartphone X,Smartphones,3500.0,1
P0023,2024-05-01 03:28:29,PROD05,Jogo Aventura,Games,199.9,1
P0023,2024-05-01 03:55:49,PROD05,Jogo Aventura,Games,199.9,1
P0024,2024-05-01 03:57:45,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P0025,2024-05-01 04:12:54,PROD09,Webcam Full HD,Acessórios,300.0,1
P0025,2024-05-01 04:17:37,PROD09,Webcam Full HD,Acessórios,300.0,1
P0026,2024-05-01 04:27:48,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0027,2024-05-01 04:35:13,PROD03,Notebook Pro,Notebooks,7500.0,1
P0028,2024-05-01 05:02:53,PROD03,Notebook Pro,Notebooks,7500.0,1
P0029,2024-05-01 05:05:22,PROD08,Cadeira Gamer,Móveis,1200.0,1
P0030,2024-05-01 05:06:34,PROD10,SSD 1TB,Componentes,600.0,1
P0030,2024-05-01 05:07:59,PROD06,Mouse Gamer W,Acessórios,150.0,1
P0031,2024-05-01 05:27:31,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0032,2024-05-01 05:29:30,PROD03,Notebook Pro,Notebooks,7500.0,1
P0033,2024-05-01 05:42:13,PROD05,Jogo Aventura,Games,199.9,1
P0034,2024-05-01 05:46:54,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0035,2024-05-01 05:52:16,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0035,2024-05-01 05:54:57,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0036,2024-05-01 05:56:23,PROD09,Webcam Full HD,Acessórios,300.0,1
P0037,2024-05-01 06:06:54,PROD10,SSD 1TB,Componentes,600.0,1
P0038,2024-05-01 06:10:08,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0039,2024-05-01 06:10:52,PROD05,Jogo Aventura,Games,199.9,1
P0040,2024-05-01 06:11:02,PROD01,Smartphone X,Smartphones,3500.0,1
P0041,2024-05-01 06:20:16,PROD02,Fone Bluetooth Y,Acessórios,250.0,1
P0042,2024-05-01 06:21:13,PROD03,Notebook Pro,Notebooks,7500.0,1
P0043,2024-05-01 06:21:32,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P0043,2024-05-01 06:22:08,PROD09,Webcam Full HD,Acessórios,300.0,1
P0044,2024-05-01 06:48:26,PROD01,Smartphone X,Smartphones,3500.0,1
P0044,2024-05-01 06:51:01,PROD07,Monitor Ultrawide,Monitores,1800.0,1
