id_pedido,timestamp,id_produto,nome_produto,categoria,preco,quantidade
P2151,2024-05-17 23:32:24,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2151,2024-05-17 23:39:30,PROD04,Teclado Gamer Z,Acessórios,450.0,2
P2152,2024-05-17 23:45:33,PROD01,Smartphone X,Smartphones,3500.0,1
P2153,2024-05-18 00:07:21,PROD01,Smartphone X,Smartphones,3500.0,2
P2154,2024-05-18 00:32:02,PROD06,Mouse Gamer W,Acessórios,150.0,1
P2155,2024-05-18 00:41:22,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2156,2024-05-18 01:00:43,PROD03,Notebook Pro,Notebooks,7500.0,1
P2157,2024-05-18 01:00:55,PROD03,Notebook Pro,Notebooks,7500.0,1
P2158,2024-05-18 01:08:15,PROD01,Smartphone X,Smartphones,3500.0,1
P2159,2024-05-18 01:13:50,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2159,2024-05-18 01:14:53,PROD05,Jogo Aventura,Games,199.9,1
P2160,2024-05-18 01:17:06,PROD03,Notebook Pro,Notebooks,7500.0,1
P2161,2024-05-18 01:45:03,PROD05,Jogo Aventura,Games,199.9,1
P2161,2024-05-18 02:11:35,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2162,2024-05-18 02:19:10,PROD10,SSD 1TB,Componentes,600.0,1
P2162,2024-05-18 02:26:48,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2163,2024-05-18 02:28:01,PROD10,SSD 1TB,Componentes,600.0,1
P2164,2024-05-18 02:40:18,PROD03,Notebook Pro,Notebooks,7500.0,1
P2165,2024-05-18 03:18:42,PROD08,Cadeira Gamer,Móveis,1200.0,1
P2165,2024-05-18 03:23:40,PROD10,SSD 1TB,Componentes,600.0,3
P2165,2024-05-18 03:29:50,PROD01,Smartphone X,Smartphones,3500.0,2
P2166,2024-05-18 03:59:54,PROD09,Webcam Full HD,Acessórios,300.0,1
P2166,2024-05-18 04:08:57,PROD09,Webcam Full HD,Acessórios,300.0,1
P2167,2024-05-18 04:51:08,PROD08,Cadeira Gamer,Móveis,1200.0,2
P2168,2024-05-18 04:58:29,PROD01,Smartphone X,Smartphones,3500.0,1
P2168,2024-05-18 05:07:11,PROD07,Monitor Ultrawide,Monitores,1800.0,2
P2169,2024-05-18 05:14:44,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2170,2024-05-18 05:26:49,PROD06,Mouse Gamer W,Acessórios,150.0,1
P2170,2024-05-18 05:28:43,PROD09,Webcam Full HD,Acessórios,300.0,1
P2171,2024-05-18 05:30:32,PROD09,Webcam Full HD,Acessórios,300.0,1
P2172,2024-05-18 05:31:06,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2173,2024-05-18 05:43:38,PROD07,Monitor Ultrawide,Monitores,1800.0,1
P2174,2024-05-18 06:07:26,PROD01,Smartphone X,Smartphones,3500.0,1
P2175,2024-05-18 06:30:35,PROD04,Teclado Gamer Z,Acessórios,450.0,1
P2176,2024-05-18 06:36:48,PROD06,Mouse Gamer W,Acessórios,150.0,3
P2177,2024-05-18 06:46:25,PROD09,Webcam Full HD,Acessórios,300.0,2
